local_artist,local_book,local_song_count,s3_artist,s3_book,s3_song_count,match_pct,match_quality,matches,local_only,s3_only,other_candidates
Acdc,ACDC - Anthology,3,Acdc,Anthology,3,1.0,PERFECT,3,0,0,1
Adele,Adele - 19 _PVG Book_,12,Adele,19 [pvg Book],12,1.0,PERFECT,12,0,0,0
Aerosmith,Aerosmith - Greatest Hits _Songbook_,15,Aerosmith,Greatest Hits (songbook),15,1.0,PERFECT,15,0,0,0
Allman Brothers,Allman Brothers - Allman Brothers Band _PVG_,15,Allman Brothers,Allman Brothers Band [pvg],15,1.0,PERFECT,15,0,0,2
Allman Brothers,Allman Brothers - Band Best _Score_,8,Allman Brothers,Band Best [score],8,1.0,PERFECT,8,0,0,2
Allman Brothers,Allman Brothers - Best Of _PVG_,28,Allman Brothers,Best Of [pvg],28,1.0,PERFECT,28,0,0,1
America,America - America _PVG Book_,12,America,America - Greatest Hits,7,0.5833333333333334,PARTIAL,7,5,0,0
America,America - Greatest Hits,12,America,America - Greatest Hits,7,0.5833333333333334,PARTIAL,7,5,0,0
America,America - Greatest Hits [Book],4,America,America - Greatest Hits [book],7,1.0,PERFECT,4,0,0,0
America,America - Greatest Hits _Book_,4,America,America - Greatest Hits [book],7,1.0,PERFECT,4,0,0,0
Asia,Asia - Alpha _PVG Book_,11,Asia,Asia - Alpha [pvg Book],4,0.36363636363636365,POOR,4,7,0,0
Avril Lavigne,Avril Lavigne - The Best Damn Thing _PVG Book_,12,Avril Lavigne,Avril Lavigne - The Best Damn Thing [pvg Book],4,0.3333333333333333,POOR,4,8,0,0
Barry Manilow,Barry Manilow - Anthology,52,Barry Manilow,Anthology,53,1.0,PERFECT,52,0,1,0
Barry Manilow,Barry Manilow - Barry Manilow _PVG Book_,13,Barry Manilow,Barry Manilow - Barry Manilow [pvg Book],7,0.5384615384615384,PARTIAL,7,6,0,0
Beatles,Beatles - 100 Hits For All Keyboards,48,Beatles,Beatles - Complete Scores,167,0.5833333333333334,PARTIAL,28,20,139,1
Beatles,Beatles - Abbey Road,19,Beatles,Beatles - Complete Scores,167,0.631578947368421,PARTIAL,12,7,155,0
Beatles,Beatles - Abbey Road Guitar Recorded Version,18,Beatles,Beatles - Complete Scores,167,0.8333333333333334,GOOD,15,3,152,4
Beatles,Beatles - All Songs 1962-1974,199,Beatles,Beatles - Complete Scores,167,0.7035175879396985,PARTIAL,140,59,27,1
Beatles,Beatles - Anthology,199,Beatles,Beatles - Complete Scores,167,0.7035175879396985,PARTIAL,140,59,27,1
Beatles,Beatles - Anthology 1,18,Beatles,Beatles - Anthology 1,10,0.5555555555555556,PARTIAL,10,8,0,3
Beatles,Beatles - Anthology 1 _113 pages_,26,Beatles,Beatles - Anthology 1 (113 Pages),20,0.7307692307692307,PARTIAL,19,7,1,2
Beatles,Beatles - Anthology 2 page_01_-_40,9,Beatles,Beatles - Complete Scores,167,0.7777777777777778,PARTIAL,7,2,160,3
Beatles,Beatles - Anthology 2 page_41_-72,1,Beatles,Beatles - Anthology 2 (page 41 -72),1,1.0,PERFECT,1,0,0,0
Beatles,Beatles - Anthology 2 page_73_-112,1,Beatles,Beatles - 100 Hits For All Keyboards,34,1.0,PERFECT,1,0,33,2
Beatles,Beatles - Anthology 3 _page 37 - 79,1,Beatles,Beatles - Anthology 3 (page 37 - 79,1,1.0,PERFECT,1,0,0,3
Beatles,Beatles - Anthology 3 page_01_-_36,8,Beatles,Beatles - Anthology 3 (page 01 - 36),4,0.5,PARTIAL,4,4,0,2
Beatles,Beatles - Anthology 3 page_80_-_111,1,Beatles,Beatles - Abbey Road,7,1.0,PERFECT,1,0,6,5
Beatles,Beatles - Beatlemania 1963-1966,34,Beatles,Beatles - Complete Scores (2),160,0.6764705882352942,PARTIAL,23,11,137,1
Beatles,Beatles - Complete Scores,210,Beatles,Beatles - Complete Scores,167,0.7952380952380952,PARTIAL,167,43,0,1
Beatles,Beatles - Complete Scores _2_,210,Beatles,Beatles - Complete Scores,167,0.7952380952380952,PARTIAL,167,43,0,1
Beatles,Beatles - Essential Songs,96,Beatles,Beatles - Complete Scores (2),160,0.7291666666666666,PARTIAL,70,26,90,2
Beatles,Beatles - Fake Songbook _Guitar_,178,Beatles,Beatles - Fake Songbook (guitar),121,0.6685393258426966,PARTIAL,119,59,2,2
Beatles,Beatles - Joy Of Beatles,1,Beatles,Beatles - Anthology 1 (113 Pages),20,1.0,PERFECT,1,0,19,4
Beatles,Beatles - Live At The Hollywood Bowl,12,Beatles,Beatles - Complete Scores (2),160,0.75,PARTIAL,9,3,151,1
Beatles,Beatles - Live At The Hollywood Bowl _2_,12,Beatles,Beatles - Complete Scores (2),160,0.75,PARTIAL,9,3,151,1
Beatles,Beatles - Revolver,14,Beatles,Beatles - Complete Scores (2),160,0.7142857142857143,PARTIAL,10,4,150,4
Beatles,Beatles - Revolver _2_,14,Beatles,Beatles - Complete Scores (2),160,0.7142857142857143,PARTIAL,10,4,150,4
Beatles,Beatles - Rubber Soul,13,Beatles,Beatles - Complete Scores,167,0.8461538461538461,GOOD,11,2,156,2
Beatles,Beatles - Sergeant Peppers Lonely Hearts Club Band,1,Beatles,Beatles - Complete Scores (2),160,1.0,PERFECT,1,0,159,2
Beatles,Beatles - Singles Collection _PVG_,26,Beatles,Beatles - Complete Scores (2),160,0.8461538461538461,GOOD,22,4,138,6
Beatles,Beatles - Songbook,194,Beatles,Beatles - Complete Scores,167,0.7061855670103093,PARTIAL,137,57,30,1
Beatles,Beatles - White Album 1 _Guitar Recorded Version_,1,Beatles,Beatles - 100 Hits For All Keyboards,34,1.0,PERFECT,1,0,33,2
Bee Gees,Bee Gees - Anthology,1,Bee Gees,Bee Gees - Anthology,1,1.0,PERFECT,1,0,0,0
Belinda Carlisle,Belinda Carlisle - 5 Of The Best _PVG_,5,Belinda Carlisle,Belinda Carlisle - 5 Of The Best [pvg],3,0.6,PARTIAL,3,2,0,0
Ben Folds,Ben Folds - Rockin The Suburbs _Book_,1,Ben Folds,Ben Folds - Rockin' The Suburbs [book],1,1.0,PERFECT,1,0,0,1
Ben Folds,Ben Folds - Rockin' The Suburbs [Book],1,Ben Folds,Ben Folds - Rockin' The Suburbs [book],1,1.0,PERFECT,1,0,0,1
Ben Folds,Ben Folds - Songs For Silverman,13,Ben Folds,Songs For Silverman,13,0.8461538461538461,GOOD,11,2,2,1
Ben Folds,Ben Folds - Songs For The Silverman,13,Ben Folds,Songs For Silverman,13,0.8461538461538461,GOOD,11,2,2,1
Ben Folds,Ben Folds Five - Rockin The Suburbs,12,Ben Folds,Ben Folds Five - Rockin' The Suburbs,8,0.5833333333333334,PARTIAL,7,5,1,0
Ben Folds,Ben Folds Five - Selections From Naked Baby Photos _Score_,15,Ben Folds,Ben Folds Five - Selections From Naked Baby Photos [score],18,0.9333333333333333,GOOD,14,1,4,0
Ben Folds,Ben Folds Five - Whatever And Ever Amen _Book_,12,Ben Folds,Ben Folds Five - Whatever And Ever Amen [book],15,0.9166666666666666,GOOD,11,1,4,0
Billy Joel,Billy Joel - 52nd Street,9,Billy Joel,52nd Street,9,1.0,PERFECT,9,0,0,1
Billy Joel,Billy Joel - Anthology,29,Billy Joel,Billy Joel - Anthology,29,1.0,PERFECT,29,0,0,0
Billy Joel,Billy Joel - Best Of Piano Solos,13,Billy Joel,Best Of Piano Solos,13,1.0,PERFECT,13,0,0,3
Billy Joel,Billy Joel - Complete Vol 1,47,Billy Joel,Complete Vol 1,47,0.851063829787234,GOOD,40,7,7,0
Billy Joel,Billy Joel - Complete Vol 2,48,Billy Joel,Complete Vol 2,48,0.8125,GOOD,39,9,9,0
Billy Joel,Billy Joel - Fantasies And Delusions,11,Billy Joel,Billy Joel - Fantasies & Delusions,11,1.0,PERFECT,11,0,0,0
Billy Joel,Billy Joel - For Advanced Piano,11,Billy Joel,For Advanced Piano,11,1.0,PERFECT,11,0,0,7
Billy Joel,Billy Joel - Glass Houses,10,Billy Joel,Billy Joel - Glass Houses,10,1.0,PERFECT,10,0,0,1
Billy Joel,Billy Joel - Greatest Hits,21,Billy Joel,Billy Joel - Greatest Hits,21,1.0,PERFECT,21,0,0,3
Billy Joel,Billy Joel - Greatest Hits Vol I And II,21,Billy Joel,Billy Joel - Greatest Hits,21,1.0,PERFECT,21,0,0,3
Billy Joel,Billy Joel - Greatest Hits Vol III,1,Billy Joel,Greatest Hits Vol Iii,1,1.0,PERFECT,1,0,0,1
Billy Joel,Billy Joel - Keyboard Book,15,Billy Joel,Billy Joel - Keyboard Book,15,1.0,PERFECT,15,0,0,5
Billy Joel,Billy Joel - My Lives,72,Billy Joel,My Lives,72,0.6666666666666666,PARTIAL,48,24,24,0
Billy Joel,Billy Joel - Rock Score,8,Billy Joel,Rock Score,8,1.0,PERFECT,8,0,0,4
Billy Joel,Billy Joel - Songs In The Attic,11,Billy Joel,Songs In The Attic,11,1.0,PERFECT,11,0,0,2
Billy Joel,Billy Joel - Turnstiles,8,Billy Joel,Billy Joel - Turnstiles,8,1.0,PERFECT,8,0,0,1
Billy Joel,Billy Joel Greatest Hits Vols 1 And 2,11,Billy Joel,Billy Joel Greatest Hits Vols 1 And 2,12,1.0,PERFECT,11,0,1,7
Billy Ocean,Billy Ocean - The Best Of,10,Billy Ocean,Billy Ocean - The Best Of,5,0.5,PARTIAL,5,5,0,0
Black Eyed Peas,Black Eyed Peas - Elephunk _PVG Book_,11,Black Eyed Peas,Black Eyed Peas - Elephunk [pvg Book],8,0.7272727272727273,PARTIAL,8,3,0,0
Blues Brothers,Blues Brothers - Complete,12,Blues Brothers,Blues Brothers - Complete,6,0.5,PARTIAL,6,6,0,0
Bob Dylan,Bob Dylan - Anthology,46,Bob Dylan,Bob Dylan - Anthology,43,0.9130434782608695,GOOD,42,4,1,1
Bob Dylan,Bob Dylan - Anthology 1,46,Bob Dylan,Bob Dylan - Anthology,43,0.9130434782608695,GOOD,42,4,1,1
Bob Dylan,Bob Dylan - Anthology 2,51,Bob Dylan,Bob Dylan - Anthology 2,49,0.9411764705882353,GOOD,48,3,1,1
Bob Dylan,Bob Dylan - Basement Tapes _PVG_,24,Bob Dylan,Basement Tapes [pvg],24,0.75,PARTIAL,18,6,6,0
Bob Dylan,Bob Dylan - Blonde On Blonde,13,Bob Dylan,Blonde On Blonde,13,0.9230769230769231,GOOD,12,1,1,0
Bob Dylan,Bob Dylan - Collection,47,Bob Dylan,Bob Dylan - Anthology,43,0.8085106382978723,GOOD,38,9,5,1
Bob Dylan,Bob Dylan - Desire,9,Bob Dylan,Desire,9,0.3333333333333333,POOR,3,6,6,0
Bob Dylan,Bob Dylan - Finger Picking,14,Bob Dylan,Finger Picking,14,0.8571428571428571,GOOD,12,2,2,1
Bob Dylan,Bob Dylan - Highway 61 Revisited,10,Bob Dylan,Highway 61 Revisited,10,1.0,PERFECT,10,0,0,2
Bob Dylan,Bob Dylan - Nashville Skyline,1,Bob Dylan,Bob Dylan - Nashville Skyline,1,1.0,PERFECT,1,0,0,0
Bob Dylan,Bob Dylan - Rock Score,6,Bob Dylan,Rock Score,6,1.0,PERFECT,6,0,0,7
Bob Dylan,Bob Dylan - Saved,8,Bob Dylan,Saved,8,0.875,GOOD,7,1,1,0
Bob Dylan,Bob Dylan - Songbook,47,Bob Dylan,Songbook,47,0.9574468085106383,EXCELLENT,45,2,2,0
Bob Dylan,Bob Dylan - The Harp Styles Of Bob Dylan _Harmonica_,12,Bob Dylan,The Harp Styles Of Bob Dylan [harmonica],12,1.0,PERFECT,12,0,0,3
Bob Seger,Bob Seger - Greatest Hits,14,Bob Seger,Greatest Hits,14,0.8571428571428571,GOOD,12,2,2,0
Bob Seger,Bob Seger - The New Best Of Bob Seger,5,Bob Seger,Greatest Hits,14,0.8,GOOD,4,1,10,2
Bon Jovi,Bon Jovi - Best Of Bon Jovi,19,Bon Jovi,Bon Jovi - Best Of Bon Jovi,18,0.8947368421052632,GOOD,17,2,1,0
Bonnie Raitt,Bonnie Raitt - Nick Of Time _PVG Book_,1,Bonnie Raitt,Bonnie Raitt - Nick Of Time [pvg Book],1,1.0,PERFECT,1,0,0,1
Bonnie Raitt,Bonnie Raitt - Road Tested _PVG Book_,22,Bonnie Raitt,Bonnie Raitt - Road Tested [pvg Book],7,0.22727272727272727,POOR,5,17,2,0
Bonnie Tyler,Bonnie Tyler - Hot Songs,7,Bonnie Tyler,Bonnie Tyler - Hot Songs,3,0.42857142857142855,POOR,3,4,0,0
Bread,Bread - Best Of Bread,4,,,0,0.0,NO MATCH,0,4,0,0
Bruce Springsteen,Bruce Springsteen - Born In The USA,13,Bruce Springsteen,Born In The Usa,13,1.0,PERFECT,13,0,0,0
Bruce Springsteen,Bruce Springsteen - Born To Run,8,Bruce Springsteen,Bruce Springsteen - Born To Run,7,0.875,GOOD,7,1,0,0
Bruce Springsteen,Bruce Springsteen - Greatest Hits,13,Bruce Springsteen,Born In The Usa,13,0.23076923076923078,POOR,3,10,10,0
Bruce Springsteen,Bruce Springsteen - Lucky Town,9,Bruce Springsteen,Lucky Town,9,1.0,PERFECT,9,0,0,0
Buddy Holly,Buddy Holly - Golden Anniversary Songbook,28,Buddy Holly,Buddy Holly - Golden Anniversary Songbook,9,0.2857142857142857,POOR,8,20,1,0
Burl Ives,Burl Ives - Song Book,106,Burl Ives,Burl Ives - Song Book,60,0.42452830188679247,POOR,45,61,15,0
Burt Bacharach,Burt Bacharach - 40 Golden Songs Of,40,Burt Bacharach,Burt Bacharach - 40 Golden Songs Of,29,0.675,PARTIAL,27,13,2,0
Burt Bacharach,Burt Bacharach - Anthology,33,Burt Bacharach,Anthology,33,0.45454545454545453,POOR,15,18,18,0
Burt Bacharach,Burt Bacharach - Bacharach Collection,15,Burt Bacharach,Anthology,33,0.3333333333333333,POOR,5,10,28,0
Carole King,Carole King - Bradleys Best Of The Best _Organ_,13,Carole King,Carole King - Classics (2),30,0.6153846153846154,PARTIAL,8,5,22,2
Carole King,Carole King - Classics,21,Carole King,Carole King - Classics (2),30,0.8095238095238095,GOOD,17,4,13,2
Carole King,Carole King - Classics _2_,35,Carole King,Carole King - Classics (2),30,0.8571428571428571,GOOD,30,5,0,1
Carole King,Carole King - Classics _3_,35,Carole King,Carole King - Classics (2),30,0.8571428571428571,GOOD,30,5,0,1
Carole King,Carole King - Keyboard Play-Along Vol 22,8,Carole King,Carole King - Classics (2),30,0.625,PARTIAL,5,3,25,2
Carole King,Carole King - Tapestry,12,Carole King,Carole King - Classics (2),30,0.75,PARTIAL,9,3,21,6
Carole King,Carole King - The New Best Of Carole King,19,Carole King,Carole King - Classics (2),30,0.5789473684210527,PARTIAL,11,8,19,0
Carole King,Carole King - Youre The Voice,11,Carole King,Carole King - Classics (2),30,0.7272727272727273,PARTIAL,8,3,22,2
Carpenters,Carpenters - Anthology,43,Carpenters,Carpenters - Anthology,21,0.46511627906976744,POOR,20,23,1,0
Carpenters,Carpenters - Love Songs,22,Carpenters,Carpenters - Love Songs,19,0.8636363636363636,GOOD,19,3,0,0
Carpenters,Carpenters - Note For Note,11,Carpenters,Carpenters - Love Songs,19,0.6363636363636364,PARTIAL,7,4,12,0
Cheap Trick,Cheap Trick - Greatest Hits _Score_,1,Cheap Trick,Cheap Trick - Greatest Hits [score],1,1.0,PERFECT,1,0,0,0
Colbie Caillat,Colbie Caillat - Breakthrough _PVG Book_,13,Colbie Caillat,Breakthrough [pvg Book],13,0.07692307692307693,POOR,1,12,12,0
Cole Porter,Cole Porter - The Very Best Of Cole Porter,38,Cole Porter,Cole Porter - The Very Best Of Cole Porter,34,0.8947368421052632,GOOD,34,4,0,1
Cream,Cream - Cream Complete,25,Cream,Cream - Cream Complete,20,0.8,GOOD,20,5,0,0
Creedence Clearwater Revival,Creedence Clearwater Revival - 8 Pcs Book,8,Creedence Clearwater Revival,Creedence Clearwater Revival - 8 Pcs Book,5,0.625,PARTIAL,5,3,0,1
Creedence Clearwater Revival,Creedence Clearwater Revival - Best Of,20,Creedence Clearwater Revival,Creedence Clearwater Revival - Best Of,13,0.65,PARTIAL,13,7,0,0
Creedence Clearwater Revival,Creedence Clearwater Revival - Guitar Anthology,20,Creedence Clearwater Revival,Creedence Clearwater Revival - Guitar Tab Book,7,0.35,POOR,7,13,0,0
Creedence Clearwater Revival,Creedence Clearwater Revival - Guitar Tab Book,7,Creedence Clearwater Revival,Creedence Clearwater Revival - Guitar Tab Book,7,1.0,PERFECT,7,0,0,0
Creedence Clearwater Revival,Creedence Clearwater Revival - Ultimate Minus One,7,Creedence Clearwater Revival,Creedence Clearwater Revival - Best Of,13,0.5714285714285714,PARTIAL,4,3,9,1
Crosby Stills And Nash,Crosby Stills Nash And Young - Deja Vu _PVG Book_,21,Crosby Stills And Nash,Crosby Stills Nash & Young - Deja Vu [pvg Book],32,0.47619047619047616,POOR,10,11,22,0
Crowded House,Crowded House - The Very Best Of _PVG Book_,19,Crowded House,Crowded House - The Very Best Of [pvg Book],7,0.3684210526315789,POOR,7,12,0,0
Crowded House,Crowded House - Together Alone _PVG Book_,13,Crowded House,Crowded House - Together Alone [pvg Book],6,0.46153846153846156,POOR,6,7,0,0
David Crosby,David Crosby - Songbook _Lead Sheets_,1,David Crosby,David Crosby - Songbook [lead Sheets],1,1.0,PERFECT,1,0,0,1
Dire Straits,Dire Straits - Best Of Dire Straits _Guitar Tab_,22,Dire Straits,Dire Straits - Best Of Dire Straits [guitar Tab],6,0.22727272727272727,POOR,5,17,1,0
Dire Straits,Dire Straits - Brothers In Arms,9,Dire Straits,Dire Straits - Brothers In Arms,9,1.0,PERFECT,9,0,0,0
Dire Straits,Dire Straits - Jam With Dire Straits _Guitar Book_,8,Dire Straits,Dire Straits - Jam With Dire Straits [guitar Book],5,0.625,PARTIAL,5,3,0,0
Dire Straits,Dire Straits - Money For Nothing _Guitar Book_,1,Dire Straits,Dire Straits - Jam With Dire Straits [guitar Book],5,1.0,PERFECT,1,0,4,3
Don Henley,Don Henley - Actual Miles _Greatest Hits_,3,Don Henley,Don Henley - Actual Miles (greatest Hits),3,1.0,PERFECT,3,0,0,0
Don Henley,Don Henley - The End Of The Innocence _PVG Book_,10,Don Henley,Don Henley - The End Of The Innocence [pvg Book],5,0.5,PARTIAL,5,5,0,0
Doobie Brothers,Doobie Brothers - Best Of _Band Score Jap_,1,Doobie Brothers,Doobie Brothers - Best Of [band Score Jap],1,1.0,PERFECT,1,0,0,0
Doobie Brothers,Doobie Brothers - Songs,9,Doobie Brothers,Doobie Brothers - Songs,4,0.4444444444444444,POOR,4,5,0,0
Doors,Doors - Anthology,12,Doors,Doors - Anthology,7,0.5833333333333334,PARTIAL,7,5,0,0
Doors,Doors - Songbook,6,Doors,Doors - Songbook,2,0.3333333333333333,POOR,2,4,0,0
Dr John,Dr John - New Orleans Piano Vol 2,3,,,0,0.0,NO MATCH,0,3,0,0
Duran Duran,Duran Duran - Best Of _Score_,12,Duran Duran,Best Of [score],19,0.6666666666666666,PARTIAL,8,4,11,0
Duran Duran,Duran Duran - Decade _PVG Book_,15,Duran Duran,Duran Duran - Decade [pvg Book],6,0.4,POOR,6,9,0,0
Duran Duran,Duran Duran - Seven And The Ragged Tiger _Jap Band Score_,8,Duran Duran,Best Of [score],19,0.5,PARTIAL,4,4,15,1
Eagles,Eagles - Greatest Hits,10,Eagles,Eagles - New Eagles Complete,27,0.5,PARTIAL,5,5,22,0
Eagles,Eagles - Greatest Hits _1971-1975_,10,Eagles,Eagles - New Eagles Complete,27,0.5,PARTIAL,5,5,22,0
Eagles,Eagles - Hotel California _Guitar Songbook_,1,Eagles,Eagles - Hotel California (guitar Songbook),1,1.0,PERFECT,1,0,0,0
Eagles,Eagles - Made Easy For Guitar,6,Eagles,Eagles - Made Easy For Guitar,4,0.6666666666666666,PARTIAL,4,2,0,1
Eagles,Eagles - New Eagles Complete,67,Eagles,Eagles - New Eagles Complete,27,0.3880597014925373,POOR,26,41,1,0
Eagles,Eagles - The Best Of The Eagles - Songbook,12,Eagles,Eagles - New Eagles Complete,27,0.4166666666666667,POOR,5,7,22,0
Elo,ELO - A New World Record,7,Elo,Anthology [pvg],32,0.8571428571428571,GOOD,6,1,26,0
Elo,ELO - Greatest Hits,2,Elo,Elo - Greatest Hits,2,1.0,PERFECT,2,0,0,2
Elo,Elo - Anthology _PVG_,32,Elo,Anthology [pvg],32,1.0,PERFECT,32,0,0,0
Elo,Elo - Discovery _PVG Book_,1,Elo,Elo - Discovery [pvg Book],7,1.0,PERFECT,1,0,6,0
Elo,Elo - Face The Music _PVG Bok_,2,Elo,Elo - Face The Music [pvg Bok],2,1.0,PERFECT,2,0,0,2
Elo,Elo - Out Of The Blue _Book_,1,Elo,Anthology [pvg],32,1.0,PERFECT,1,0,31,1
Elo,Elton John - The Elton John Collection [Piano Solos],29,Elo,Elton John - The Elton John Collection [piano Solos],29,1.0,PERFECT,29,0,0,0
Elton John,Elton John - A Single Man,10,Elton John,Elton John - A Single Man,6,0.6,PARTIAL,6,4,0,0
Elton John,Elton John - Captain Fantastic,1,,,0,0.0,NO MATCH,0,1,0,0
Elton John,Elton John - Goodbye Yellow Brick Road,2,Elton John,Elton John - Goodbye Yellow Brick Road,2,1.0,PERFECT,2,0,0,0
Elton John,Elton John - Greatest Hits 1970-2002,30,Elton John,Elton John - Greatest Hits 1970-2002,19,0.6333333333333333,PARTIAL,19,11,0,1
Elton John,Elton John - Ice On Fire,12,Elton John,Elton John - Ice On Fire,6,0.5,PARTIAL,6,6,0,0
Elton John,Elton John - Made In England,11,Elton John,Elton John - Made In England,7,0.6363636363636364,PARTIAL,7,4,0,0
Elton John,Elton John - Peachtree Road,10,Elton John,Elton John - Peachtree Road,5,0.5,PARTIAL,5,5,0,0
Elton John,Elton John - Reg Strikes Back,9,Elton John,Elton John - Reg Strikes Back,4,0.4444444444444444,POOR,4,5,0,0
Elton John,Elton John - Sleeping With The Past,1,Elton John,Elton John - Sleeping With The Past,1,1.0,PERFECT,1,0,0,0
Elton John,Elton John - Songs From The West Coast,3,Elton John,Elton John - Songs From The West Coast,2,0.6666666666666666,PARTIAL,2,1,0,0
Elton John,Elton John - The Big Picture,3,Elton John,Elton John - The Big Picture,2,0.6666666666666666,PARTIAL,2,1,0,0
Elton John,Elton John - The Elton John Collection _Piano Solos_,22,Elton John,Greatest Hits 1970-2002,30,0.45454545454545453,POOR,10,12,20,0
Elton John,Elton John - The One,5,Elton John,Elton John - The One,5,1.0,PERFECT,5,0,0,0
Elton John,Elton John - The Ultimate Collection Vol 1,59,Elton John,Greatest Hits 1970-2002,30,0.15254237288135594,POOR,9,50,21,0
Elton John,Elton John - The Ultimate Collection Vol 2,29,Elton John,Elton John - Greatest Hits 1970-2002,19,0.1724137931034483,POOR,5,24,14,0
Elton John,Elton John - The Very Best Of,1,Elton John,Elton John - Greatest Hits 1970-2002,19,1.0,PERFECT,1,0,18,3
Elton John,Elton John - Too Low For Zero _Book_,10,Elton John,Too Low For Zero [book],10,1.0,PERFECT,10,0,0,1
Elvis Costello,Elvis Costello - The Very Best Of,42,Elvis Costello,The Very Best Of,42,1.0,PERFECT,42,0,0,0
Emerson Lake And Palmer,Emerson Lake And Palmer - Black Book,2,Emerson Lake And Palmer,Black Book,2,1.0,PERFECT,2,0,0,4
Emerson Lake And Palmer,Emerson Lake And Palmer - Greatest Hits,10,Emerson Lake And Palmer,Greatest Hits,10,1.0,PERFECT,10,0,0,1
Emerson Lake And Palmer,Emerson Lake And Palmer - Tarkus _Book_,13,Emerson Lake And Palmer,Tarkus [book],13,1.0,PERFECT,13,0,0,0
Emerson Lake And Palmer,Emerson Lake And Palmer - Trilogy _Book_,7,Emerson Lake And Palmer,Trilogy [book],7,1.0,PERFECT,7,0,0,1
Eric Clapton,Eric Clapton - Derek And The Dominos _Book_,14,Eric Clapton,Derek And The Dominos [book],14,1.0,PERFECT,14,0,0,1
Eric Clapton,Eric Clapton - The Best Of Book,10,Eric Clapton,The Best Of Book,10,1.0,PERFECT,10,0,0,1
Eric Clapton,Eric Clapton - Unplugged _Book_,14,Eric Clapton,Unplugged [book],14,1.0,PERFECT,14,0,0,0
Fleetwood Mac,Fleetwood Mac - Anthology,27,Fleetwood Mac,Anthology,27,1.0,PERFECT,27,0,0,2
Fleetwood Mac,Fleetwood Mac - Deluxe Anthology,42,Fleetwood Mac,Deluxe Anthology,42,1.0,PERFECT,42,0,0,0
Fleetwood Mac,Fleetwood Mac - Fleetwood Mac Heroes Are Hard To Find,15,Fleetwood Mac,Fleetwood Mac + Heroes Are Hard To Find,15,1.0,PERFECT,15,0,0,2
Fleetwood Mac,Fleetwood Mac - Mirage,12,Fleetwood Mac,Mirage,12,1.0,PERFECT,12,0,0,1
Fleetwood Mac,Fleetwood Mac - Rumours,11,Fleetwood Mac,Deluxe Anthology,42,1.0,PERFECT,11,0,31,2
Fleetwood Mac,Fleetwood Mac - Tango In The Night,12,Fleetwood Mac,Tango In The Night,12,1.0,PERFECT,12,0,0,0
Fleetwood Mac,Fleetwood Mac - The Dance,13,Fleetwood Mac,The Dance,13,1.0,PERFECT,13,0,0,1
Frank Zappa,Frank Zappa - Hot Rats,2,Frank Zappa,Frank Zappa - Hot Rats,2,1.0,PERFECT,2,0,0,0
Frank Zappa,Frank Zappa - Songbook Vol 1,17,Frank Zappa,Songbook Vol 1,17,1.0,PERFECT,17,0,0,0
Frank Zappa,Frank Zappa - The Frank Zappa Guitar Book _transcriptions By Steve Vai_,12,Frank Zappa,The Frank Zappa Guitar Book (transcriptions By Steve Vai),12,1.0,PERFECT,12,0,0,1
Fray,Fray - How To Save A Life _Book_,3,Fray,Fray - How To Save A Life [book],2,0.6666666666666666,PARTIAL,2,1,0,0
Garth Brooks,Garth Brooks - No Fences _Guitar Tab_,7,Garth Brooks,No Fences [guitar Tab],7,1.0,PERFECT,7,0,0,0
Garth Brooks,Garth Brooks - The Hits _Guitar Tab_,1,Garth Brooks,Garth Brooks - The Hits [guitar Tab],1,1.0,PERFECT,1,0,0,1
Garth Brooks,Garth Brooks - The Limited Series,21,Garth Brooks,The Limited Series,21,1.0,PERFECT,21,0,0,0
Genesis,Genesis - A Trick Of The Tail _Book_,8,Genesis,A Trick Of The Tail [book],8,1.0,PERFECT,8,0,0,1
Genesis,Genesis - Anthology,44,Genesis,Anthology,44,1.0,PERFECT,44,0,0,0
Genesis,Genesis - Best Of Vol 1,10,Genesis,Best Of Vol 1,10,1.0,PERFECT,10,0,0,2
Genesis,Genesis - Invisible Touch _Book_,8,Genesis,Invisible Touch [book],8,1.0,PERFECT,8,0,0,2
Genesis,Genesis - Rock Score,4,Genesis,Anthology,44,1.0,PERFECT,4,0,40,5
Genesis,Genesis - Seconds Out,8,Genesis,Seconds Out,8,1.0,PERFECT,8,0,0,1
Genesis,Genesis - Selling England By The Pound,7,Genesis,Selling England By The Pound,7,1.0,PERFECT,7,0,0,1
