"Artist","BookName","ExecutionArn","ExecutionName","S3Key","BookId","Batch"
"Eric Clapton","Eric Clapton - The Cream of Clapton","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry-eric-clapton---the-cream-of-clapton-20260128-002543-976","retry-eric-clapton---the-cream-of-clapton-20260128-002543-976","books/Eric Clapton/Eric Clapton - The Cream of Clapton.pdf","f6ddaca658d973ce","1"
"John Denver","John Denver - Back Home Again","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry-john-denver---back-home-again-20260128-002547-128","retry-john-denver---back-home-again-20260128-002547-128","books/John Denver/John Denver - Back Home Again.pdf","788ec5ec99485d65","1"
"REO Speedwagon","REO Speedwagon - Life As We Know It","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry-reo-speedwagon---life-as-we-know-it-20260128-002550-203","retry-reo-speedwagon---life-as-we-know-it-20260128-002550-203","books/REO Speedwagon/REO Speedwagon - Life As We Know It.pdf","31703f87c24a9ac1","1"
"Tom Waits","Tom Waits - Tom Waits Anthology","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry-tom-waits---tom-waits-anthology-20260128-002553-340","retry-tom-waits---tom-waits-anthology-20260128-002553-340","books/Tom Waits/Tom Waits - Tom Waits Anthology.pdf","2049e850c13b80ae","1"
"Various Artists","Various Artists - Ultimate 80s Songs","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry-various-artists---ultimate-80s-songs-20260128-002556-443","retry-various-artists---ultimate-80s-songs-20260128-002556-443","books/Various Artists/Various Artists - Ultimate 80s Songs.pdf","f3a7c996e0d883e9","1"
"Who","Who - Quadrophenia (PVG)","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry-who---quadrophenia--pvg--20260128-002559-537","retry-who---quadrophenia--pvg--20260128-002559-537","books/Who/Who - Quadrophenia (PVG).pdf","70cfe4a99b84bd42","1"
"Wings","Wings - London Town (PVG Book)","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry-wings---london-town--pvg-book--20260128-002602-642","retry-wings---london-town--pvg-book--20260128-002602-642","books/Wings/Wings - London Town (PVG Book).pdf","d17c6753233523bc","1"
"_Broadway Shows","Various Artists - Little Shop of Horrors Script","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry-various-artists---little-shop-of-horrors-script-20260128-002605-747","retry-various-artists---little-shop-of-horrors-script-20260128-002605-747","books/_Broadway Shows/Various Artists - Little Shop of Horrors Script.pdf","9921bd62fa862fe5","1"
"_Broadway Shows","Wicked Workshop","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry-wicked-workshop-20260128-002608-876","retry-wicked-workshop-20260128-002608-876","books/_Broadway Shows/Wicked Workshop.pdf","77a14f6004f123ec","1"
"_Movie and TV","The Wizard of Oz Script","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry-the-wizard-of-oz-script-20260128-002611-971","retry-the-wizard-of-oz-script-20260128-002611-971","books/_Movie and TV/The Wizard of Oz Script.pdf","9197eb3ef2def7a7","1"
"_Movie and TV","Various Artists - Complete TV and Film","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry-various-artists---complete-tv-and-film-20260128-002645-112","retry-various-artists---complete-tv-and-film-20260128-002645-112","books/_Movie and TV/Various Artists - Complete TV and Film.pdf","e4efc2ff934927bd","2"
"America","America - Greatest Hits [Book]","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry-america---greatest-hits--book--20260128-002648-234","retry-america---greatest-hits--book--20260128-002648-234","books/America/America - Greatest Hits [Book] .pdf","b2bc539514495a56","2"
"Ben Folds","Ben Folds - Rockin' The Suburbs [Book]","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry-ben-folds---rockin--the-suburbs--book--20260128-002651-310","retry-ben-folds---rockin--the-suburbs--book--20260128-002651-310","books/Ben Folds/Ben Folds - Rockin' The Suburbs [Book].pdf","51925656876096b3","2"
"Crosby Stills and Nash","Crosby, Stills, Nash & Young - The Guitar Collection","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry-crosby--stills--nash---young---the-guitar-collection-20260128-002654-397","retry-crosby--stills--nash---young---the-guitar-collection-20260128-002654-397","books/Crosby Stills and Nash/Crosby, Stills, Nash & Young - The Guitar Collection.pdf","d1f7252c1d40b1af","2"
"ELO","Elton John - The Elton John Collection [Piano Solos]","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry-elton-john---the-elton-john-collection--piano-solos--20260128-002657-499","retry-elton-john---the-elton-john-collection--piano-solos--20260128-002657-499","books/ELO/Elton John - The Elton John Collection [Piano Solos].pdf","4f5f119d3e3726c1","2"
"Kinks","Kinks - Guitar Legends [Tab]","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry-kinks---guitar-legends--tab--20260128-002700-595","retry-kinks---guitar-legends--tab--20260128-002700-595","books/Kinks/Kinks - Guitar Legends [Tab].pdf","23cb3e42f789eeda","2"
"Mamas and the Papas","Mamas and The Papas - Songbook [PVG]","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry-mamas-and-the-papas---songbook--pvg--20260128-002703-705","retry-mamas-and-the-papas---songbook--pvg--20260128-002703-705","books/Mamas and the Papas/Mamas and The Papas - Songbook [PVG].pdf","1bf2d99ebebd80f6","2"
"Night Ranger","Night Ranger - Best Of 2 [Jap Score]","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry-night-ranger---best-of-2--jap-score--20260128-002706-816","retry-night-ranger---best-of-2--jap-score--20260128-002706-816","books/Night Ranger/Night Ranger - Best Of 2 [Jap Score].pdf","9a2c8f69b1a86219","2"
"_Broadway Shows","Various Artists - Little Shop Of Horrors (Broadway)","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry-various-artists---little-shop-of-horrors--broadway--20260128-002710-015","retry-various-artists---little-shop-of-horrors--broadway--20260128-002710-015","books/_Broadway Shows/Various Artists - Little Shop Of Horrors (Broadway).pdf","d9d27279b3f1683c","2"
