"Artist","BookName","ExecutionArn","ExecutionName","S3Key"
"Eric Clapton","Eric Clapton - The Cream of Clapton","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-eric-clapton---the-cream-of-clapton-20260128-000153-761","corrected-eric-clapton---the-cream-of-clapton-20260128-000153-761","books/Eric Clapton/Eric Clapton - The Cream of Clapton.pdf"
"John Denver","John Denver - Back Home Again","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-john-denver---back-home-again-20260128-000200-815","corrected-john-denver---back-home-again-20260128-000200-815","books/John Denver/John Denver - Back Home Again.pdf"
"REO Speedwagon","REO Speedwagon - Life As We Know It","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-reo-speedwagon---life-as-we-know-it-20260128-000204-979","corrected-reo-speedwagon---life-as-we-know-it-20260128-000204-979","books/REO Speedwagon/REO Speedwagon - Life As We Know It.pdf"
"Tom Waits","Tom Waits - Tom Waits Anthology","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-tom-waits---tom-waits-anthology-20260128-000215-904","corrected-tom-waits---tom-waits-anthology-20260128-000215-904","books/Tom Waits/Tom Waits - Tom Waits Anthology.pdf"
"Various Artists","Various Artists - Ultimate 80s Songs","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-various-artists---ultimate-80s-songs-20260128-000219-073","corrected-various-artists---ultimate-80s-songs-20260128-000219-073","books/Various Artists/Various Artists - Ultimate 80s Songs.pdf"
"Who","Who - Quadrophenia (PVG)","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-who---quadrophenia--pvg--20260128-000224-668","corrected-who---quadrophenia--pvg--20260128-000224-668","books/Who/Who - Quadrophenia (PVG).pdf"
"Wings","Wings - London Town (PVG Book)","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-wings---london-town--pvg-book--20260128-000231-228","corrected-wings---london-town--pvg-book--20260128-000231-228","books/Wings/Wings - London Town (PVG Book).pdf"
"_Broadway Shows","Various Artists - Little Shop of Horrors Script","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-various-artists---little-shop-of-horrors-script-20260128-000244-374","corrected-various-artists---little-shop-of-horrors-script-20260128-000244-374","books/_Broadway Shows/Various Artists - Little Shop of Horrors Script.pdf"
"_Broadway Shows","Wicked Workshop","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-wicked-workshop-20260128-000257-386","corrected-wicked-workshop-20260128-000257-386","books/_Broadway Shows/Wicked Workshop.pdf"
"_Movie and TV","The Wizard of Oz Script","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-the-wizard-of-oz-script-20260128-000300-765","corrected-the-wizard-of-oz-script-20260128-000300-765","books/_Movie and TV/The Wizard of Oz Script.pdf"
"_Movie and TV","Various Artists - Complete TV and Film","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-various-artists---complete-tv-and-film-20260128-000303-831","corrected-various-artists---complete-tv-and-film-20260128-000303-831","books/_Movie and TV/Various Artists - Complete TV and Film.pdf"
"America","America - Greatest Hits [Book]","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:found-america---greatest-hits--book--20260128-000545-883","found-america---greatest-hits--book--20260128-000545-883","books/America/America - Greatest Hits [Book] .pdf"
"Ben Folds","Ben Folds - Rockin' The Suburbs [Book]","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:found-ben-folds---rockin--the-suburbs--book--20260128-000548-898","found-ben-folds---rockin--the-suburbs--book--20260128-000548-898","books/Ben Folds/Ben Folds - Rockin' The Suburbs [Book].pdf"
"Crosby Stills and Nash","Crosby, Stills, Nash & Young - The Guitar Collection","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:found-crosby--stills--nash---young---the-guitar-collection-20260128-000554-711","found-crosby--stills--nash---young---the-guitar-collection-20260128-000554-711","books/Crosby Stills and Nash/Crosby, Stills, Nash & Young - The Guitar Collection.pdf"
"ELO","Elton John - The Elton John Collection [Piano Solos]","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:found-elton-john---the-elton-john-collection--piano-solos--20260128-000600-988","found-elton-john---the-elton-john-collection--piano-solos--20260128-000600-988","books/ELO/Elton John - The Elton John Collection [Piano Solos].pdf"
"Kinks","Kinks - Guitar Legends [Tab]","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:found-kinks---guitar-legends--tab--20260128-000607-876","found-kinks---guitar-legends--tab--20260128-000607-876","books/Kinks/Kinks - Guitar Legends [Tab].pdf"
"Mamas and the Papas","Mamas and The Papas - Songbook [PVG]","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:found-mamas-and-the-papas---songbook--pvg--20260128-000613-052","found-mamas-and-the-papas---songbook--pvg--20260128-000613-052","books/Mamas and the Papas/Mamas and The Papas - Songbook [PVG].pdf"
"Night Ranger","Night Ranger - Best Of 2 [Jap Score]","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:found-night-ranger---best-of-2--jap-score--20260128-000616-232","found-night-ranger---best-of-2--jap-score--20260128-000616-232","books/Night Ranger/Night Ranger - Best Of 2 [Jap Score].pdf"
"_Broadway Shows","Various Artists - Little Shop Of Horrors (Broadway)","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:found-various-artists---little-shop-of-horrors--broadway--20260128-000643-993","found-various-artists---little-shop-of-horrors--broadway--20260128-000643-993","books/_Broadway Shows/Various Artists - Little Shop Of Horrors (Broadway).pdf"
